portfolio_size,mean_std,std_of_std,variance_of_std,n_obs
1,0.1832268595835053,0.06053811830248502,0.0036648637676056713,1000
2,0.15504503577008516,0.037244910386585464,0.001387183349704782,1000
3,0.14383055023540756,0.029495761832885735,0.0008699999661023189,1000
4,0.137757808203288,0.02514828525495647,0.0006324362512646609,1000
5,0.13362916095793803,0.02216246232175636,0.0004911747361632702,1000
6,0.13112252412576295,0.019674458853584507,0.0003870843311813898,1000
7,0.12908468937826173,0.01780476839556595,0.0003170097776197441,1000
8,0.1280714393921914,0.016588933554362313,0.00027519271647104786,1000
9,0.12714924004765385,0.015812440760350394,0.0002500332827995906,1000
10,0.126211108299813,0.01501059608790091,0.00022531799491410612,1000
11,0.1255714957872443,0.014210632195076843,0.00020194206738375446,1000
12,0.12489121765818299,0.013659299556749523,0.0001865764643810177,1000
13,0.12426949284731362,0.012883143612802366,0.0001659753893480904,1000
14,0.12391514561030044,0.01245873449876184,0.00015522006531063846,1000
15,0.12360550050065404,0.011974589113156154,0.0001433907844289179,1000
16,0.12332177939478044,0.011584613935004248,0.0001342032800230946,1000
17,0.1231543446686648,0.011132735136347017,0.00012393779161605544,1000
18,0.12283358071594724,0.010808471908035952,0.00011682306498680233,1000
19,0.1227743352467257,0.01065629399725388,0.00011355660175590907,1000
20,0.12255339706404404,0.010276964063273915,0.00010561599035782348,1000
21,0.12241568644538402,0.00998309625308684,9.96622107983965e-05,1000
22,0.1222661305603051,0.009638856118023557,9.290754726396017e-05,1000
23,0.1221011134512432,0.0094132783962902,8.860981016606378e-05,1000
24,0.12187886953898774,0.009262460251106486,8.579316990332765e-05,1000
25,0.12172542144642426,0.009130232331477065,8.336114242674911e-05,1000
26,0.12151565606860606,0.008977683261061246,8.059879673593928e-05,1000
27,0.12137805482348375,0.008706820298614625,7.580871971236767e-05,1000
28,0.12132821640023592,0.008555159371795804,7.319075187682557e-05,1000
29,0.12116339114797836,0.008354092239341726,6.979085714342965e-05,1000
30,0.1211063758176856,0.008184390637480578,6.698425010687974e-05,1000
31,0.12112156258163369,0.008078273225220318,6.525849830131149e-05,1000
32,0.12097528393906248,0.007991237568683519,6.385987787913886e-05,1000
33,0.12093658795217394,0.007907232124608839,6.252431987244601e-05,1000
34,0.1208581838574125,0.007836571532222513,6.14118533796403e-05,1000
35,0.12075639790793613,0.0077241208909579456,5.9662043538132964e-05,1000
36,0.12061254330402271,0.007694579606259998,5.920655531707226e-05,1000
37,0.12060069414959025,0.007601739761229136,5.7786447397452004e-05,1000
38,0.12050821940662798,0.007475858249623814,5.588845656846844e-05,1000
39,0.12043228598011001,0.007393475963554552,5.466348682365891e-05,1000
40,0.12038854976139202,0.00733418897986897,5.3790327992431444e-05,1000
